,repetition,num_actions,occurrence_ratio,conflct_ratio,time_performance,makespan,total_waiting_time,total_flow_time
0,0,100,1,0.1,9.785,19,549,648
1,0,200,1,0.1,83.598,37,3243,3442
2,0,300,1,0.1,253.525,56,7083,7382
3,0,400,1,0.1,622.972,75,14365,14764
4,0,500,1,0.1,1065.148,86,20123,20622
5,0,600,1,0.1,1859.375,108,31754,32353
6,0,700,1,0.1,2601.455,109,36441,37140
7,0,800,1,0.1,4045.341,131,50273,51072
8,0,900,1,0.1,6237.326,162,69689,70588
9,0,1000,1,0.1,8140.025,170,82368,83367
10,0,100,1,0.2,21.239,30,1303,1402
11,0,200,1,0.2,137.948,54,5169,5368
12,0,300,1,0.2,458.461,87,11760,12059
13,0,400,1,0.2,1137.567,121,22252,22651
14,0,500,1,0.2,2066.074,139,33762,34261
15,0,600,1,0.2,3630.722,168,48228,48827
16,0,700,1,0.2,6412.662,200,69543,70242
17,0,800,1,0.2,8988.536,238,91249,92048
18,0,900,1,0.2,13298.073,261,119721,120620
19,0,1000,1,0.2,17386.319,294,141445,142444
20,0,100,1,0.3,34.305,39,1780,1879
21,0,200,1,0.3,226.562,74,7505,7704
22,0,300,1,0.3,881.041,126,18359,18658
23,0,400,1,0.3,1925.606,160,31365,31764
24,0,500,1,0.3,3547.147,197,48145,48644
25,0,600,1,0.3,6164.839,238,71196,71795
26,0,700,1,0.3,9900.149,285,99564,100263
27,0,800,1,0.3,14261.665,317,122510,123309
28,0,900,1,0.3,19526.532,353,155085,155984
29,0,1000,1,0.3,25270.832,372,182026,183025
30,0,100,1,0.4,48.832,53,2467,2566
31,0,200,1,0.4,330.535,99,9745,9944
32,0,300,1,0.4,1098.24,146,21952,22251
33,0,400,1,0.4,2435.752,188,36959,37358
34,0,500,1,0.4,5159.571,259,62396,62895
35,0,600,1,0.4,8474.07,292,87438,88037
36,0,700,1,0.4,13399.994,339,118892,119591
37,0,800,1,0.4,19149.181,380,147303,148102
38,0,900,1,0.4,29102.659,446,197443,198342
39,0,1000,1,0.4,38307.524,475,238033,239032
40,0,100,1,0.5,69.728,61,2998,3097
41,0,200,1,0.5,460.869,118,11668,11867
42,0,300,1,0.5,1457.189,173,25540,25839
43,0,400,1,0.5,3426.082,232,46615,47014
44,0,500,1,0.5,6549.392,292,71125,71624
45,0,600,1,0.5,11829.552,360,107459,108058
46,0,700,1,0.5,19510.894,415,148130,148829
47,0,800,1,0.5,29384.374,477,186801,187600
48,0,900,1,0.5,40448.986,504,226528,227427
49,0,1000,1,0.5,55291.639,574,290404,291403
50,0,100,1,0.6,83.284,69,3503,3602
51,0,200,1,0.6,580.911,127,12391,12590
52,0,300,1,0.6,1960.868,196,29350,29649
53,0,400,1,0.6,4786.365,272,55545,55944
54,0,500,1,0.6,8955.38,327,80052,80551
55,0,600,1,0.6,15862.342,400,121926,122525
56,0,700,1,0.6,25151.39,477,165570,166269
57,0,800,1,0.6,35380.025,533,209290,210089
58,0,900,1,0.6,50726.123,609,272581,273480
59,0,1000,1,0.6,70472.502,681,341275,342274
60,0,100,1,0.7,93.708,69,3515,3614
61,0,200,1,0.7,685.845,143,14073,14272
62,0,300,1,0.7,2358.138,224,33466,33765
63,0,400,1,0.7,5531.139,294,58262,58661
64,0,500,1,0.7,11266.797,381,94825,95324
65,0,600,1,0.7,19707.545,457,136193,136792
66,0,700,1,0.7,30708.07,528,183124,183823
67,0,800,1,0.7,42584.001,579,229891,230690
68,0,900,1,0.7,61094.487,656,293266,294165
69,0,1000,1,0.7,84573.322,727,362263,363262
70,0,100,1,0.8,106.275,81,3850,3949
71,0,200,1,0.8,785.21,156,15455,15654
72,0,300,1,0.8,2863.29,247,36468,36767
73,0,400,1,0.8,6873.853,328,65252,65651
74,0,500,1,0.8,13409.318,416,104677,105176
75,0,600,1,0.8,22969.893,490,146586,147185
76,0,700,1,0.8,35242.82,571,195867,196566
77,0,800,1,0.8,54411.794,664,263382,264181
78,0,900,1,0.8,73319.581,716,317916,318815
79,0,1000,1,0.8,103977.967,817,409141,410140
80,0,100,1,0.9,130.117,88,4167,4266
81,0,200,1,0.9,1055.006,183,17657,17856
82,0,300,1,0.9,3449.288,274,40678,40977
83,0,400,1,0.9,7920.72,367,72559,72958
84,0,500,1,0.9,15456.583,447,111404,111903
85,0,600,1,0.9,26474.009,545,161374,161973
86,0,700,1,0.9,42043.123,636,219771,220470
87,0,800,1,0.9,62893.67,735,292615,293414
88,0,900,1,0.9,87643.289,818,370882,371781
89,0,1000,1,0.9,117663.936,900,450634,451633
