repetition,num_actions,occurrence_ratio,conflct_ratio,time_performance,makespan,total_waiting_time,total_flow_time
1,500,1,0.01,133.013,17.0,2141.0,2640.0
2,500,1,0.01,110.77299999999998,15.0,1864.0,2363.0
3,500,1,0.01,92.7,13.0,1421.0,1920.0
4,500,1,0.01,108.15500000000002,15.0,1780.0,2279.0
5,500,1,0.01,83.214,11.0,1283.0,1782.0
6,500,1,0.01,105.65933333333334,14.0,1682.0,2181.0
7,500,1,0.01,140.99699999999999,17.0,2250.0,2749.0
8,500,1,0.01,101.93299999999999,13.0,1710.0,2209.0
9,500,1,0.01,110.03166666666665,13.0,1767.0,2266.0
10,500,1,0.01,99.738,13.0,1731.0,2230.0
1,500,1,0.02,179.50633333333334,21.0,3325.0,3824.0
2,500,1,0.02,206.787,25.0,4122.0,4621.0
3,500,1,0.02,170.05133333333333,21.0,3503.0,4002.0
4,500,1,0.02,191.79733333333334,24.0,3778.0,4277.0
5,500,1,0.02,228.9466666666667,25.0,4578.0,5077.0
6,500,1,0.02,182.58966666666666,21.0,3908.0,4407.0
7,500,1,0.02,208.14833333333334,25.0,4164.0,4663.0
8,500,1,0.02,172.052,22.0,3382.0,3881.0
9,500,1,0.02,240.9416666666667,28.0,4796.0,5295.0
10,500,1,0.02,180.69666666666663,20.0,3668.0,4167.0
1,500,1,0.03,273.8066666666667,32.0,5604.0,6103.0
2,500,1,0.03,304.373,34.0,6514.0,7013.0
3,500,1,0.03,324.942,34.0,6883.0,7382.0
4,500,1,0.03,297.76933333333335,33.0,6352.0,6851.0
5,500,1,0.03,284.157,30.0,6035.0,6534.0
6,500,1,0.03,332.0883333333333,34.0,7185.0,7684.0
7,500,1,0.03,320.9983333333334,34.0,7424.0,7923.0
8,500,1,0.03,271.0743333333333,28.0,5739.0,6238.0
9,500,1,0.03,258.84633333333335,29.0,5842.0,6341.0
10,500,1,0.03,286.133,31.0,6405.0,6904.0
1,500,1,0.04,375.27866666666665,40.0,8297.0,8796.0
2,500,1,0.04,385.21266666666673,40.0,8736.0,9235.0
3,500,1,0.04,392.4773333333333,40.0,8590.0,9089.0
4,500,1,0.04,373.56566666666663,39.0,7880.0,8379.0
5,500,1,0.04,326.10566666666665,33.0,6815.0,7314.0
